Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
81     $ . compound_statement subprogram_d...   := ...                         MATCH 'assignop'
82     $ . compound_statement subprogram_d...   p ...                          PREDICT expression -> simple_expression expression_tail
83     $ . compound_statement subprogram_d...   p ...                          PREDICT simple_expression -> term simple_expression'
84     $ . compound_statement subprogram_d...   p ...                          PREDICT term -> factor term'
85     $ . compound_statement subprogram_d...   p ...                          PREDICT factor -> id factor_id_tail
86     $ . compound_statement subprogram_d...   p ...                          MATCH 'id'
87     $ . compound_statement subprogram_d...   - ...                          PREDICT factor_id_tail -> epsilon
88     $ . compound_statement subprogram_d...   - ...                          REDUCE factor_id_tail -> epsilon
89     $ . compound_statement subprogram_d...   - ...                          REDUCE factor -> id factor_id_tail
90     $ . compound_statement subprogram_d...   - ...                          PREDICT term' -> epsilon
91     $ . compound_statement subprogram_d...   - ...                          REDUCE term' -> epsilon
92     $ . compound_statement subprogram_d...   - ...                          REDUCE term -> factor term'
93     $ . compound_statement subprogram_d...   - ...                          PREDICT simple_expression' -> addop term simple_expression'
94     $ . compound_statement subprogram_d...   - ...                          MATCH 'addop'
95     $ . compound_statement subprogram_d...   1 ...                          PREDICT term -> factor term'
96     $ . compound_statement subprogram_d...   1 ...                          PREDICT factor -> num
97     $ . compound_statement subprogram_d...   1 ...                          MATCH 'num'
98     $ . compound_statement subprogram_d...   ; ...                          REDUCE factor -> num
99     $ . compound_statement subprogram_d...   ; ...                          PREDICT term' -> epsilon
100    $ . compound_statement subprogram_d...   ; ...                          REDUCE term' -> epsilon
101    $ . compound_statement subprogram_d...   ; ...                          REDUCE term -> factor term'
102    $ . compound_statement subprogram_d...   ; ...                          PREDICT simple_expression' -> epsilon
103    $ . compound_statement subprogram_d...   ; ...                          REDUCE simple_expression' -> epsilon
104    $ . compound_statement subprogram_d...   ; ...                          REDUCE simple_expression' -> addop term simple_expression'
105    $ . compound_statement subprogram_d...   ; ...                          REDUCE simple_expression -> term simple_expression'
106    $ . compound_statement subprogram_d...   ; ...                          PREDICT expression_tail -> epsilon
107    $ . compound_statement subprogram_d...   ; ...                          REDUCE expression_tail -> epsilon
108    $ . compound_statement subprogram_d...   ; ...                          REDUCE expression -> simple_expression expression_tail
109    $ . compound_statement subprogram_d...   ; ...                          REDUCE statement_id_tail -> id_varpart assignop expression
110    $ . compound_statement subprogram_d...   ; ...                          REDUCE statement -> id statement_id_tail
111    $ . compound_statement subprogram_d...   ; ...                          PREDICT statement_list' -> ; statement statement_list'
112    $ . compound_statement subprogram_d...   ; ...                          MATCH ';'
113    $ . compound_statement subprogram_d...   func ...                       PREDICT statement -> id statement_id_tail
114    $ . compound_statement subprogram_d...   func ...                       MATCH 'id'
115    $ . compound_statement subprogram_d...   := ...                         PREDICT statement_id_tail -> id_varpart assignop expression
116    $ . compound_statement subprogram_d...   := ...                         PREDICT id_varpart -> field_chain
117    $ . compound_statement subprogram_d...   := ...                         PREDICT field_chain -> epsilon
