Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
49     $ . end statement_list                   a := 5 ; b := 5 ; c := ...     PREDICT statement_list -> statement statement_list'
50     $ . end statement_list' statement        a := 5 ; b := 5 ; c := ...     PREDICT statement -> id statement_id_tail
51     $ . end statement_list' statement_i...   a := 5 ; b := 5 ; c := ...     MATCH 'id'
52     $ . end statement_list' statement_i...   := 5 ; b := 5 ; c := 1 ...     PREDICT statement_id_tail -> assignop expression
53     $ . end statement_list' expression ...   := 5 ; b := 5 ; c := 1 ...     MATCH 'assignop'
54     $ . end statement_list' expression       5 ; b := 5 ; c := 1 ; ...      PREDICT expression -> simple_expression expression_tail
55     $ . end statement_list' expression_...   5 ; b := 5 ; c := 1 ; ...      PREDICT simple_expression -> term simple_expression'
56     $ . end statement_list' expression_...   5 ; b := 5 ; c := 1 ; ...      PREDICT term -> factor term'
57     $ . end statement_list' expression_...   5 ; b := 5 ; c := 1 ; ...      PREDICT factor -> num
58     $ . end statement_list' expression_...   5 ; b := 5 ; c := 1 ; ...      MATCH 'num'
59     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      REDUCE factor -> num
60     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      PREDICT term' -> epsilon
61     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      REDUCE term' -> epsilon
62     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      REDUCE term -> factor term'
63     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      PREDICT simple_expression' -> epsilon
64     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      REDUCE simple_expression' -> epsilon
65     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      REDUCE simple_expression -> term simple_expression'
66     $ . end statement_list' expression_...   ; b := 5 ; c := 1 ; d ...      PREDICT expression_tail -> epsilon
67     $ . end statement_list'                  ; b := 5 ; c := 1 ; d ...      REDUCE expression_tail -> epsilon
68     $ . end statement_list'                  ; b := 5 ; c := 1 ; d ...      REDUCE expression -> simple_expression expression_tail
69     $ . end statement_list'                  ; b := 5 ; c := 1 ; d ...      REDUCE statement_id_tail -> assignop expression
70     $ . end statement_list'                  ; b := 5 ; c := 1 ; d ...      REDUCE statement -> id statement_id_tail
71     $ . end statement_list'                  ; b := 5 ; c := 1 ; d ...      PREDICT statement_list' -> ; statement statement_list'
72     $ . end statement_list' statement ;      ; b := 5 ; c := 1 ; d ...      MATCH ';'
73     $ . end statement_list' statement        b := 5 ; c := 1 ; d := ...     PREDICT statement -> id statement_id_tail
74     $ . end statement_list' statement_i...   b := 5 ; c := 1 ; d := ...     MATCH 'id'
75     $ . end statement_list' statement_i...   := 5 ; c := 1 ; d := - ...     PREDICT statement_id_tail -> assignop expression
76     $ . end statement_list' expression ...   := 5 ; c := 1 ; d := - ...     MATCH 'assignop'
77     $ . end statement_list' expression       5 ; c := 1 ; d := - 2 ...      PREDICT expression -> simple_expression expression_tail
78     $ . end statement_list' expression_...   5 ; c := 1 ; d := - 2 ...      PREDICT simple_expression -> term simple_expression'
79     $ . end statement_list' expression_...   5 ; c := 1 ; d := - 2 ...      PREDICT term -> factor term'
80     $ . end statement_list' expression_...   5 ; c := 1 ; d := - 2 ...      PREDICT factor -> num
81     $ . end statement_list' expression_...   5 ; c := 1 ; d := - 2 ...      MATCH 'num'
82     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      REDUCE factor -> num
83     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      PREDICT term' -> epsilon
84     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      REDUCE term' -> epsilon
85     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      REDUCE term -> factor term'
86     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      PREDICT simple_expression' -> epsilon
87     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      REDUCE simple_expression' -> epsilon
88     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      REDUCE simple_expression -> term simple_expression'
89     $ . end statement_list' expression_...   ; c := 1 ; d := - 2 ; ...      PREDICT expression_tail -> epsilon
90     $ . end statement_list'                  ; c := 1 ; d := - 2 ; ...      REDUCE expression_tail -> epsilon
91     $ . end statement_list'                  ; c := 1 ; d := - 2 ; ...      REDUCE expression -> simple_expression expression_tail
92     $ . end statement_list'                  ; c := 1 ; d := - 2 ; ...      REDUCE statement_id_tail -> assignop expression
93     $ . end statement_list'                  ; c := 1 ; d := - 2 ; ...      REDUCE statement -> id statement_id_tail
94     $ . end statement_list'                  ; c := 1 ; d := - 2 ; ...      PREDICT statement_list' -> ; statement statement_list'
95     $ . end statement_list' statement ;      ; c := 1 ; d := - 2 ; ...      MATCH ';'
96     $ . end statement_list' statement        c := 1 ; d := - 2 ; e ...      PREDICT statement -> id statement_id_tail
97     $ . end statement_list' statement_i...   c := 1 ; d := - 2 ; e ...      MATCH 'id'
98     $ . end statement_list' statement_i...   := 1 ; d := - 2 ; e := ...     PREDICT statement_id_tail -> assignop expression
99     $ . end statement_list' expression ...   := 1 ; d := - 2 ; e := ...     MATCH 'assignop'
100    $ . end statement_list' expression       1 ; d := - 2 ; e := ( ...      PREDICT expression -> simple_expression expression_tail
101    $ . end statement_list' expression_...   1 ; d := - 2 ; e := ( ...      PREDICT simple_expression -> term simple_expression'
102    $ . end statement_list' expression_...   1 ; d := - 2 ; e := ( ...      PREDICT term -> factor term'
103    $ . end statement_list' expression_...   1 ; d := - 2 ; e := ( ...      PREDICT factor -> num
104    $ . end statement_list' expression_...   1 ; d := - 2 ; e := ( ...      MATCH 'num'
105    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      REDUCE factor -> num
106    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      PREDICT term' -> epsilon
107    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      REDUCE term' -> epsilon
108    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      REDUCE term -> factor term'
109    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      PREDICT simple_expression' -> epsilon
110    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      REDUCE simple_expression' -> epsilon
111    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      REDUCE simple_expression -> term simple_expression'
112    $ . end statement_list' expression_...   ; d := - 2 ; e := ( d ...      PREDICT expression_tail -> epsilon
113    $ . end statement_list'                  ; d := - 2 ; e := ( d ...      REDUCE expression_tail -> epsilon
114    $ . end statement_list'                  ; d := - 2 ; e := ( d ...      REDUCE expression -> simple_expression expression_tail
115    $ . end statement_list'                  ; d := - 2 ; e := ( d ...      REDUCE statement_id_tail -> assignop expression
116    $ . end statement_list'                  ; d := - 2 ; e := ( d ...      REDUCE statement -> id statement_id_tail
117    $ . end statement_list'                  ; d := - 2 ; e := ( d ...      PREDICT statement_list' -> ; statement statement_list'
118    $ . end statement_list' statement ;      ; d := - 2 ; e := ( d ...      MATCH ';'
119    $ . end statement_list' statement        d := - 2 ; e := ( d * ...      PREDICT statement -> id statement_id_tail
120    $ . end statement_list' statement_i...   d := - 2 ; e := ( d * ...      MATCH 'id'
121    $ . end statement_list' statement_i...   := - 2 ; e := ( d * 1 ...      PREDICT statement_id_tail -> assignop expression
122    $ . end statement_list' expression ...   := - 2 ; e := ( d * 1 ...      MATCH 'assignop'
123    $ . end statement_list' expression       - 2 ; e := ( d * 1 div ...     ERROR: no entry for [expression, addop]
124    $ . end statement_list' expression       2 ; e := ( d * 1 div 2 ...     PREDICT expression -> simple_expression expression_tail
125    $ . end statement_list' expression_...   2 ; e := ( d * 1 div 2 ...     PREDICT simple_expression -> term simple_expression'
126    $ . end statement_list' expression_...   2 ; e := ( d * 1 div 2 ...     PREDICT term -> factor term'
127    $ . end statement_list' expression_...   2 ; e := ( d * 1 div 2 ...     PREDICT factor -> num
128    $ . end statement_list' expression_...   2 ; e := ( d * 1 div 2 ...     MATCH 'num'
129    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     REDUCE factor -> num
130    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     PREDICT term' -> epsilon
131    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     REDUCE term' -> epsilon
132    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     REDUCE term -> factor term'
133    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     PREDICT simple_expression' -> epsilon
134    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     REDUCE simple_expression' -> epsilon
135    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     REDUCE simple_expression -> term simple_expression'
136    $ . end statement_list' expression_...   ; e := ( d * 1 div 2 ) ...     PREDICT expression_tail -> epsilon
137    $ . end statement_list'                  ; e := ( d * 1 div 2 ) ...     REDUCE expression_tail -> epsilon
138    $ . end statement_list'                  ; e := ( d * 1 div 2 ) ...     REDUCE expression -> simple_expression expression_tail
139    $ . end statement_list'                  ; e := ( d * 1 div 2 ) ...     REDUCE statement_id_tail -> assignop expression
140    $ . end statement_list'                  ; e := ( d * 1 div 2 ) ...     REDUCE statement -> id statement_id_tail
141    $ . end statement_list'                  ; e := ( d * 1 div 2 ) ...     PREDICT statement_list' -> ; statement statement_list'
142    $ . end statement_list' statement ;      ; e := ( d * 1 div 2 ) ...     MATCH ';'
143    $ . end statement_list' statement        e := ( d * 1 div 2 ) + ...     PREDICT statement -> id statement_id_tail
144    $ . end statement_list' statement_i...   e := ( d * 1 div 2 ) + ...     MATCH 'id'
145    $ . end statement_list' statement_i...   := ( d * 1 div 2 ) + ( ...     PREDICT statement_id_tail -> assignop expression
146    $ . end statement_list' expression ...   := ( d * 1 div 2 ) + ( ...     MATCH 'assignop'
147    $ . end statement_list' expression       ( d * 1 div 2 ) + ( a ...      PREDICT expression -> simple_expression expression_tail
148    $ . end statement_list' expression_...   ( d * 1 div 2 ) + ( a ...      PREDICT simple_expression -> term simple_expression'
149    $ . end statement_list' expression_...   ( d * 1 div 2 ) + ( a ...      PREDICT term -> factor term'
150    $ . end statement_list' expression_...   ( d * 1 div 2 ) + ( a ...      PREDICT factor -> ( expression )
151    $ . end statement_list' expression_...   ( d * 1 div 2 ) + ( a ...      MATCH '('
152    $ . end statement_list' expression_...   d * 1 div 2 ) + ( a - ...      PREDICT expression -> simple_expression expression_tail
153    $ . end statement_list' expression_...   d * 1 div 2 ) + ( a - ...      PREDICT simple_expression -> term simple_expression'
154    $ . end statement_list' expression_...   d * 1 div 2 ) + ( a - ...      PREDICT term -> factor term'
155    $ . end statement_list' expression_...   d * 1 div 2 ) + ( a - ...      PREDICT factor -> id factor_id_tail
156    $ . end statement_list' expression_...   d * 1 div 2 ) + ( a - ...      MATCH 'id'
157    $ . end statement_list' expression_...   * 1 div 2 ) + ( a - b ...      PREDICT factor_id_tail -> epsilon
158    $ . end statement_list' expression_...   * 1 div 2 ) + ( a - b ...      REDUCE factor_id_tail -> epsilon
159    $ . end statement_list' expression_...   * 1 div 2 ) + ( a - b ...      REDUCE factor -> id factor_id_tail
160    $ . end statement_list' expression_...   * 1 div 2 ) + ( a - b ...      PREDICT term' -> mulop factor term'
161    $ . end statement_list' expression_...   * 1 div 2 ) + ( a - b ...      MATCH 'mulop'
162    $ . end statement_list' expression_...   1 div 2 ) + ( a - b ) ...      PREDICT factor -> num
163    $ . end statement_list' expression_...   1 div 2 ) + ( a - b ) ...      MATCH 'num'
164    $ . end statement_list' expression_...   div 2 ) + ( a - b ) - ...      REDUCE factor -> num
165    $ . end statement_list' expression_...   div 2 ) + ( a - b ) - ...      PREDICT term' -> mulop factor term'
166    $ . end statement_list' expression_...   div 2 ) + ( a - b ) - ...      MATCH 'mulop'
167    $ . end statement_list' expression_...   2 ) + ( a - b ) - - ...        PREDICT factor -> num
168    $ . end statement_list' expression_...   2 ) + ( a - b ) - - ...        MATCH 'num'
169    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE factor -> num
170    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        PREDICT term' -> epsilon
171    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE term' -> epsilon
172    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE term' -> mulop factor term'
173    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE term' -> mulop factor term'
174    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE term -> factor term'
175    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        PREDICT simple_expression' -> epsilon
176    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE simple_expression' -> epsilon
177    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE simple_expression -> term simple_expression'
178    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        PREDICT expression_tail -> epsilon
179    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE expression_tail -> epsilon
180    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        REDUCE expression -> simple_expression expression_tail
181    $ . end statement_list' expression_...   ) + ( a - b ) - - ( ...        MATCH ')'
182    $ . end statement_list' expression_...   + ( a - b ) - - ( c ...        REDUCE factor -> ( expression )
183    $ . end statement_list' expression_...   + ( a - b ) - - ( c ...        PREDICT term' -> epsilon
184    $ . end statement_list' expression_...   + ( a - b ) - - ( c ...        REDUCE term' -> epsilon
185    $ . end statement_list' expression_...   + ( a - b ) - - ( c ...        REDUCE term -> factor term'
186    $ . end statement_list' expression_...   + ( a - b ) - - ( c ...        PREDICT simple_expression' -> addop term simple_expression'
187    $ . end statement_list' expression_...   + ( a - b ) - - ( c ...        MATCH 'addop'
188    $ . end statement_list' expression_...   ( a - b ) - - ( c + ...        PREDICT term -> factor term'
189    $ . end statement_list' expression_...   ( a - b ) - - ( c + ...        PREDICT factor -> ( expression )
190    $ . end statement_list' expression_...   ( a - b ) - - ( c + ...        MATCH '('
191    $ . end statement_list' expression_...   a - b ) - - ( c + 3 ...        PREDICT expression -> simple_expression expression_tail
192    $ . end statement_list' expression_...   a - b ) - - ( c + 3 ...        PREDICT simple_expression -> term simple_expression'
193    $ . end statement_list' expression_...   a - b ) - - ( c + 3 ...        PREDICT term -> factor term'
194    $ . end statement_list' expression_...   a - b ) - - ( c + 3 ...        PREDICT factor -> id factor_id_tail
195    $ . end statement_list' expression_...   a - b ) - - ( c + 3 ...        MATCH 'id'
196    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        PREDICT factor_id_tail -> epsilon
197    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        REDUCE factor_id_tail -> epsilon
198    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        REDUCE factor -> id factor_id_tail
199    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        PREDICT term' -> epsilon
200    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        REDUCE term' -> epsilon
201    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        REDUCE term -> factor term'
202    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        PREDICT simple_expression' -> addop term simple_expression'
203    $ . end statement_list' expression_...   - b ) - - ( c + 3 ) ...        MATCH 'addop'
204    $ . end statement_list' expression_...   b ) - - ( c + 3 ) mod ...      PREDICT term -> factor term'
205    $ . end statement_list' expression_...   b ) - - ( c + 3 ) mod ...      PREDICT factor -> id factor_id_tail
206    $ . end statement_list' expression_...   b ) - - ( c + 3 ) mod ...      MATCH 'id'
207    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      PREDICT factor_id_tail -> epsilon
208    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE factor_id_tail -> epsilon
209    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE factor -> id factor_id_tail
210    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      PREDICT term' -> epsilon
211    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE term' -> epsilon
212    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE term -> factor term'
213    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      PREDICT simple_expression' -> epsilon
214    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE simple_expression' -> epsilon
215    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE simple_expression' -> addop term simple_expression'
216    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE simple_expression -> term simple_expression'
217    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      PREDICT expression_tail -> epsilon
218    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE expression_tail -> epsilon
219    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      REDUCE expression -> simple_expression expression_tail
220    $ . end statement_list' expression_...   ) - - ( c + 3 ) mod 2 ...      MATCH ')'
221    $ . end statement_list' expression_...   - - ( c + 3 ) mod 2 ; ...      REDUCE factor -> ( expression )
222    $ . end statement_list' expression_...   - - ( c + 3 ) mod 2 ; ...      PREDICT term' -> epsilon
223    $ . end statement_list' expression_...   - - ( c + 3 ) mod 2 ; ...      REDUCE term' -> epsilon
224    $ . end statement_list' expression_...   - - ( c + 3 ) mod 2 ; ...      REDUCE term -> factor term'
225    $ . end statement_list' expression_...   - - ( c + 3 ) mod 2 ; ...      PREDICT simple_expression' -> addop term simple_expression'
226    $ . end statement_list' expression_...   - - ( c + 3 ) mod 2 ; ...      MATCH 'addop'
227    $ . end statement_list' expression_...   - ( c + 3 ) mod 2 ; write...   ERROR: no entry for [term, addop]
228    $ . end statement_list' expression_...   - ( c + 3 ) mod 2 ; write...   PREDICT simple_expression' -> addop term simple_expression'
229    $ . end statement_list' expression_...   - ( c + 3 ) mod 2 ; write...   MATCH 'addop'
230    $ . end statement_list' expression_...   ( c + 3 ) mod 2 ; write (...   PREDICT term -> factor term'
231    $ . end statement_list' expression_...   ( c + 3 ) mod 2 ; write (...   PREDICT factor -> ( expression )
232    $ . end statement_list' expression_...   ( c + 3 ) mod 2 ; write (...   MATCH '('
233    $ . end statement_list' expression_...   c + 3 ) mod 2 ; write ( e...   PREDICT expression -> simple_expression expression_tail
234    $ . end statement_list' expression_...   c + 3 ) mod 2 ; write ( e...   PREDICT simple_expression -> term simple_expression'
235    $ . end statement_list' expression_...   c + 3 ) mod 2 ; write ( e...   PREDICT term -> factor term'
236    $ . end statement_list' expression_...   c + 3 ) mod 2 ; write ( e...   PREDICT factor -> id factor_id_tail
237    $ . end statement_list' expression_...   c + 3 ) mod 2 ; write ( e...   MATCH 'id'
238    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   PREDICT factor_id_tail -> epsilon
239    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   REDUCE factor_id_tail -> epsilon
240    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   REDUCE factor -> id factor_id_tail
241    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   PREDICT term' -> epsilon
242    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   REDUCE term' -> epsilon
243    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   REDUCE term -> factor term'
244    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   PREDICT simple_expression' -> addop term simple_expression'
245    $ . end statement_list' expression_...   + 3 ) mod 2 ; write ( e )...   MATCH 'addop'
246    $ . end statement_list' expression_...   3 ) mod 2 ; write ( e ) ;...   PREDICT term -> factor term'
247    $ . end statement_list' expression_...   3 ) mod 2 ; write ( e ) ;...   PREDICT factor -> num
248    $ . end statement_list' expression_...   3 ) mod 2 ; write ( e ) ;...   MATCH 'num'
249    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE factor -> num
250    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   PREDICT term' -> epsilon
251    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE term' -> epsilon
252    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE term -> factor term'
253    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   PREDICT simple_expression' -> epsilon
254    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE simple_expression' -> epsilon
255    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE simple_expression' -> addop term simple_expression'
256    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE simple_expression -> term simple_expression'
257    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   PREDICT expression_tail -> epsilon
258    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE expression_tail -> epsilon
259    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   REDUCE expression -> simple_expression expression_tail
260    $ . end statement_list' expression_...   ) mod 2 ; write ( e ) ; e...   MATCH ')'
261    $ . end statement_list' expression_...   mod 2 ; write ( e ) ; e :...   REDUCE factor -> ( expression )
262    $ . end statement_list' expression_...   mod 2 ; write ( e ) ; e :...   PREDICT term' -> mulop factor term'
263    $ . end statement_list' expression_...   mod 2 ; write ( e ) ; e :...   MATCH 'mulop'
264    $ . end statement_list' expression_...   2 ; write ( e ) ; e := ( ...   PREDICT factor -> num
265    $ . end statement_list' expression_...   2 ; write ( e ) ; e := ( ...   MATCH 'num'
266    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE factor -> num
267    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   PREDICT term' -> epsilon
268    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE term' -> epsilon
269    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE term' -> mulop factor term'
270    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE term -> factor term'
271    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   PREDICT simple_expression' -> epsilon
272    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE simple_expression' -> epsilon
273    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE simple_expression' -> addop term simple_expression'
274    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE simple_expression' -> addop term simple_expression'
275    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE simple_expression' -> addop term simple_expression'
276    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   REDUCE simple_expression -> term simple_expression'
277    $ . end statement_list' expression_...   ; write ( e ) ; e := ( ( ...   PREDICT expression_tail -> epsilon
278    $ . end statement_list'                  ; write ( e ) ; e := ( ( ...   REDUCE expression_tail -> epsilon
279    $ . end statement_list'                  ; write ( e ) ; e := ( ( ...   REDUCE expression -> simple_expression expression_tail
