Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
------------------------------------------------------------
1      $ programstruct                          program main ; var a , b ...   PREDICT programstruct -> program_head ; program_body .
2      $ . program_body ; program_head          program main ; var a , b ...   PREDICT program_head -> program id program_head'
3      $ . program_body ; program_head' id...   program main ; var a , b ...   MATCH 'program'
4      $ . program_body ; program_head' id      main ; var a , b , c , d ...   MATCH 'id'
5      $ . program_body ; program_head'         ; var a , b , c , d , ...      PREDICT program_head' -> epsilon
6      $ . program_body ;                       ; var a , b , c , d , ...      REDUCE program_head' -> epsilon
7      $ . program_body ;                       ; var a , b , c , d , ...      REDUCE program_head -> program id program_head'
8      $ . program_body ;                       ; var a , b , c , d , ...      MATCH ';'
9      $ . program_body                         var a , b , c , d , e ...      PREDICT program_body -> const_declarations var_declarations subprogram_declarations compound_statement
10     $ . compound_statement subprogram_d...   var a , b , c , d , e ...      PREDICT const_declarations -> epsilon
11     $ . compound_statement subprogram_d...   var a , b , c , d , e ...      REDUCE const_declarations -> epsilon
12     $ . compound_statement subprogram_d...   var a , b , c , d , e ...      PREDICT var_declarations -> var var_decl_list
13     $ . compound_statement subprogram_d...   var a , b , c , d , e ...      MATCH 'var'
14     $ . compound_statement subprogram_d...   a , b , c , d , e : ...        PREDICT var_decl_list -> id idlist' : type ; var_decl_list_tail
15     $ . compound_statement subprogram_d...   a , b , c , d , e : ...        MATCH 'id'
16     $ . compound_statement subprogram_d...   , b , c , d , e : integer...   PREDICT idlist' -> , id idlist'
17     $ . compound_statement subprogram_d...   , b , c , d , e : integer...   MATCH ','
18     $ . compound_statement subprogram_d...   b , c , d , e : integer ;...   MATCH 'id'
19     $ . compound_statement subprogram_d...   , c , d , e : integer ; b...   PREDICT idlist' -> , id idlist'
20     $ . compound_statement subprogram_d...   , c , d , e : integer ; b...   MATCH ','
21     $ . compound_statement subprogram_d...   c , d , e : integer ; beg...   MATCH 'id'
22     $ . compound_statement subprogram_d...   , d , e : integer ; begin...   PREDICT idlist' -> , id idlist'
23     $ . compound_statement subprogram_d...   , d , e : integer ; begin...   MATCH ','
24     $ . compound_statement subprogram_d...   d , e : integer ; begin a...   MATCH 'id'
25     $ . compound_statement subprogram_d...   , e : integer ; begin a :...   PREDICT idlist' -> , id idlist'
26     $ . compound_statement subprogram_d...   , e : integer ; begin a :...   MATCH ','
27     $ . compound_statement subprogram_d...   e : integer ; begin a := ...   MATCH 'id'
28     $ . compound_statement subprogram_d...   : integer ; begin a := 5 ...   PREDICT idlist' -> epsilon
29     $ . compound_statement subprogram_d...   : integer ; begin a := 5 ...   REDUCE idlist' -> epsilon
30     $ . compound_statement subprogram_d...   : integer ; begin a := 5 ...   REDUCE idlist' -> , id idlist'
31     $ . compound_statement subprogram_d...   : integer ; begin a := 5 ...   REDUCE idlist' -> , id idlist'
32     $ . compound_statement subprogram_d...   : integer ; begin a := 5 ...   REDUCE idlist' -> , id idlist'
33     $ . compound_statement subprogram_d...   : integer ; begin a := 5 ...   REDUCE idlist' -> , id idlist'
34     $ . compound_statement subprogram_d...   : integer ; begin a := 5 ...   MATCH ':'
35     $ . compound_statement subprogram_d...   integer ; begin a := 5 ; ...   PREDICT type -> basic_type
36     $ . compound_statement subprogram_d...   integer ; begin a := 5 ; ...   PREDICT basic_type -> integer
37     $ . compound_statement subprogram_d...   integer ; begin a := 5 ; ...   MATCH 'integer'
38     $ . compound_statement subprogram_d...   ; begin a := 5 ; b := 5 ;...   REDUCE basic_type -> integer
39     $ . compound_statement subprogram_d...   ; begin a := 5 ; b := 5 ;...   REDUCE type -> basic_type
40     $ . compound_statement subprogram_d...   ; begin a := 5 ; b := 5 ;...   MATCH ';'
41     $ . compound_statement subprogram_d...   begin a := 5 ; b := 5 ; c...   PREDICT var_decl_list_tail -> epsilon
42     $ . compound_statement subprogram_d...   begin a := 5 ; b := 5 ; c...   REDUCE var_decl_list_tail -> epsilon
43     $ . compound_statement subprogram_d...   begin a := 5 ; b := 5 ; c...   REDUCE var_decl_list -> id idlist' : type ; var_decl_list_tail
44     $ . compound_statement subprogram_d...   begin a := 5 ; b := 5 ; c...   REDUCE var_declarations -> var var_decl_list
45     $ . compound_statement subprogram_d...   begin a := 5 ; b := 5 ; c...   PREDICT subprogram_declarations -> epsilon
46     $ . compound_statement                   begin a := 5 ; b := 5 ; c...   REDUCE subprogram_declarations -> epsilon
47     $ . compound_statement                   begin a := 5 ; b := 5 ; c...   PREDICT compound_statement -> begin statement_list end
48     $ . end statement_list begin             begin a := 5 ; b := 5 ; c...   MATCH 'begin'
